Strategy report
Symbol: SCHB
Work Time: 11/3/15 - 10/31/25


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;DATA_COLLECT(SellClose);Sell to Close;-1.0;$8.46;11/3/15;$0.11;($0.02);-1.0;
2;DATA_COLLECT(SOHLCP|SCHB|8.44|8.5|8.4233|8.4733|8.4468);Buy to Open;1.0;$8.35;11/3/15;;$0.11;0.0;
3;DATA_COLLECT(SellClose);Sell to Close;-1.0;$8.50;11/4/15;$0.08;$0.16;-1.0;
4;DATA_COLLECT(SOHLCP|SCHB|8.4917|8.4965|8.4253|8.45|8.4733);Buy to Open;1.0;$8.42;11/4/15;;$0.18;0.0;
5;DATA_COLLECT(SellClose);Sell to Close;-1.0;$8.50;11/5/15;$0.07;$0.23;-1.0;
6;DATA_COLLECT(SOHLCP|SCHB|8.4533|8.47|8.3967|8.4433|8.45);Buy to Open;1.0;$8.43;11/5/15;;$0.25;0.0;
7;DATA_COLLECT(SellClose);Sell to Close;-1.0;$8.47;11/6/15;$0.07;$0.28;-1.0;
8;DATA_COLLECT(SOHLCP|SCHB|8.4233|8.4498|8.375|8.4433|8.4433);Buy to Open;1.0;$8.40;11/6/15;;$0.33;0.0;
9;DATA_COLLECT(SellClose);Sell to Close;-1.0;$8.45;11/9/15;$0.07;$0.41;-1.0;
10;DATA_COLLECT(SOHLCP|SCHB|8.4167|8.4183|8.3183|8.3617|8.4433);Buy to Open;1.0;$8.38;11/9/15;;$0.40;0.0;
11;DATA_COLLECT(SellClose);Sell to Close;-1.0;$8.42;11/10/15;$0.10;$0.44;-1.0;
12;DATA_COLLECT(SOHLCP|SCHB|8.3383|8.3817|8.3252|8.38|8.3617);Buy to Open;1.0;$8.32;11/10/15;;$0.50;0.0;
13;DATA_COLLECT(SellClose);Sell to Close;-1.0;$8.38;11/11/15;$0.06;$0.54;-1.0;
14;DATA_COLLECT(SOHLCP|SCHB|8.3967|8.3967|8.3433|8.345|8.38);Buy to Open;1.0;$8.33;11/11/15;;$0.56;0.0;
15;DATA_COLLECT(SellClose);Sell to Close;-1.0;$8.40;11/12/15;$0.05;$0.73;-1.0;
16;DATA_COLLECT(SOHLCP|SCHB|8.3|8.315|8.2233|8.2267|8.345);Buy to Open;1.0;$8.34;11/12/15;;$0.61;0.0;
17;DATA_COLLECT(SellClose);Sell to Close;-1.0;$8.32;11/13/15;$0.09;$0.79;-1.0;
18;DATA_COLLECT(SOHLCP|SCHB|8.1983|8.2133|8.1333|8.1367|8.2267);Buy to Open;1.0;$8.22;11/13/15;;$0.70;0.0;
19;DATA_COLLECT(SellClose);Sell to Close;-1.0;$8.21;11/16/15;$0.08;$0.67;-1.0;
20;DATA_COLLECT(SOHLCP|SCHB|8.1233|8.2517|8.1233|8.25|8.1367);Buy to Open;1.0;$8.13;11/16/15;;$0.78;0.0;
21;DATA_COLLECT(SellClose);Sell to Close;-1.0;$8.25;11/17/15;$0.13;$0.79;-1.0;
22;DATA_COLLECT(SOHLCP|SCHB|8.2717|8.3083|8.2233|8.24|8.25);Buy to Open;1.0;$8.12;11/17/15;;$0.91;0.0;
23;DATA_COLLECT(SellClose);Sell to Close;-1.0;$8.31;11/18/15;$0.08;$0.85;-1.0;
24;DATA_COLLECT(SOHLCP|SCHB|8.27|8.3802|8.265|8.37|8.24);Buy to Open;1.0;$8.22;11/18/15;;$1.00;0.0;
25;DATA_COLLECT(SellClose);Sell to Close;-1.0;$8.38;11/19/15;$0.12;$1.01;-1.0;
26;DATA_COLLECT(SOHLCP|SCHB|8.37|8.3872|8.3517|8.3633|8.37);Buy to Open;1.0;$8.27;11/19/15;;$1.11;0.0;
27;DATA_COLLECT(SellClose);Sell to Close;-1.0;$8.39;11/20/15;$0.04;$1.10;-1.0;
